Year,Month,Event,Date,Day,Timing,Nakshatra,Tithi,SpecialNotes
2026,January,Vivah Muhurat,16 Jan 2026,Friday,07:15 AM - 02:45 PM,Rohini,Tritiya,Shukla Paksha
2026,January,Griha Pravesh,22 Jan 2026,Thursday,08:20 AM - 11:50 AM,Uttara Bhadrapada,Panchami,Shubha Lagna
2026,January,Vahan Khareedi,25 Jan 2026,Sunday,07:12 AM - 05:30 PM,Aswini,Ashtami,Ravi Yoga
2026,February,Vivah Muhurat,04 Feb 2026,Wednesday,08:00 PM - 06:15 AM (5 Feb),Magha,Dwitiya,Ravi Yoga
2026,February,Mundan Muhurat,12 Feb 2026,Thursday,09:10 AM - 01:30 PM,Uttara Phalguni,Dashami,Shubha Tithi
2026,February,Griha Pravesh,19 Feb 2026,Thursday,06:55 AM - 10:15 AM,Anuradha,Tritiya,Amrit Siddhi Yoga
2026,March,Property Khareedi,05 Mar 2026,Thursday,06:40 AM - 03:20 PM,Swati,Dwitiya,Shubh Yoga
2026,March,Naamkaran Muhurat,18 Mar 2026,Wednesday,07:00 AM - 12:00 PM,Rohini,Amavasya / Pratipada,Shubha Nakshatra
2026,April,Vivah Muhurat,18 Apr 2026,Saturday,06:00 PM - 04:30 AM (19 Apr),Rohini,Tritiya,Akshaya Tritiya Shubh
2026,April,Griha Pravesh,25 Apr 2026,Saturday,05:45 AM - 11:20 AM,Pushya,Navami,Sarvartha Siddhi Yoga
2026,May,Vivah Muhurat,02 May 2026,Saturday,07:30 PM - 05:15 AM (3 May),Anuradha,Dwitiya,Shubha Lagna
2026,June,Vahan Khareedi,11 Jun 2026,Thursday,05:25 AM - 08:40 PM,Hasta,Ekadashi,Ravi Yoga
2026,November,Vivah Muhurat,21 Nov 2026,Saturday,06:45 PM - 06:10 AM (22 Nov),Rohini,Dwitiya,Dev Uthani Ekadashi Ke Baad
2026,December,Griha Pravesh,10 Dec 2026,Thursday,07:05 AM - 01:15 PM,Uttara Ashadha,Pratipada,Shubh Nakshatra
2027,January,Vahan Khareedi,18 Jan 2027,Monday,07:15 AM - 04:00 PM,Rohini,Ekadashi,Sarvartha Siddhi Yoga
2027,February,Vivah Muhurat,08 Feb 2027,Monday,07:00 PM - 06:30 AM (9 Feb),Uttara Phalguni,Tritiya,Shubh Lagna
2027,March,Property Khareedi,12 Mar 2027,Friday,06:30 AM - 02:45 PM,Anuradha,Panchami,Ravi Yoga
2027,April,Griha Pravesh,09 Apr 2027,Friday,06:05 AM - 11:50 AM,Krittika,Tritiya,Akshaya Tritiya
2027,May,Vivah Muhurat,15 May 2027,Saturday,08:15 PM - 05:00 AM (16 May),Hasta,Dashami,Shubha Tithi
2027,June,Mundan Muhurat,17 Jun 2027,Thursday,05:25 AM - 11:30 AM,Pushya,Trayodashi,Shubh Nakshatra
2027,November,Vivah Muhurat,25 Nov 2027,Thursday,06:50 PM - 06:20 AM (26 Nov),Rohini,Dwitiya,Shubh Mahurat
2027,December,Griha Pravesh,15 Dec 2027,Wednesday,07:08 AM - 12:40 PM,Uttara Bhadrapada,Saptami,Amrit Siddhi Yoga
2028,January,Naamkaran Muhurat,20 Jan 2028,Thursday,07:14 AM - 01:00 PM,Aswini,Navami,Shubh Tithi
2028,February,Vivah Muhurat,11 Feb 2028,Friday,07:10 PM - 06:40 AM (12 Feb),Anuradha,Panchami,Shubh Lagna
